Etiket,# Örnek,Ortalama,En Az,En Çok,Std. Dev.,Hata %,Transfer Oranı,KB/sn,Sent KB/sec,Ort. Byte
n11LoadingTest:n11_anaSayfa,1,493,493,493,"0,00","0,000%","2,02840","428,22","0,45","216180,0"
n11LoadingTest:n11_moda,1,287,287,287,"0,00","0,000%","3,48432","888,26","0,87","261048,0"
n11LoadingTest:n11_elektronik,1,273,273,273,"0,00","0,000%","3,66300","704,96","0,89","197073,0"
n11LoadingTest:n11_ev_yasam,1,243,243,243,"0,00","0,000%","4,11523","844,13","0,98","210046,0"
n11LoadingTest:n11_anne_bebek,1,274,274,274,"0,00","0,000%","3,64964","870,98","0,88","244376,0"
n11LoadingTest:n11_kozmetik,1,294,294,294,"0,00","0,000%","3,40136","1033,89","0,90","311260,0"
n11LoadingTest:n11_mucevher,1,269,269,269,"0,00","0,000%","3,71747","787,77","0,92","216997,0"
n11LoadingTest:n11_spor,1,232,232,232,"0,00","0,000%","4,31034","790,17","1,06","187720,0"
n11LoadingTest:n11_kitap,1,218,218,218,"0,00","0,000%","4,58716","869,55","1,21","194112,0"
n11LoadingTest:n11_otomotiv,1,232,232,232,"0,00","0,000%","4,31034","787,12","1,12","186995,0"
n11LoadingTest:n11_search,1,5469,5469,5469,"0,00","0,000%",",18285","14,48","0,09","81105,0"
TOPLAM,11,753,218,5469,"1493,00","0,000%","1,32658","271,69","0,36","209719,3"
